,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
150,Miami (OH) NCAA,30,23,7,.767,10.10,0.86,,16,2,,,,,,,,2119,1827,,,,.400,.305,.539,50.7,52.7,,7.8,.507,16.3,,.269
151,Michigan State NCAA,28,22,6,.786,17.49,7.92,,14,4,,,,,,,,2194,1926,,,,.338,.233,.568,54.8,55.7,,4.0,.546,16.9,,.227
152,Michigan NCAA,31,17,14,.548,9.81,8.94,,11,7,,,,,,,,2188,2161,,,,.347,.222,.504,51.9,46.1,,11.0,.475,19.4,,.224
153,Middle Tennessee,27,12,15,.444,-13.59,-6.68,,5,11,,,,,,,,1934,2034,,,,.363,.166,.490,50.9,52.0,,6.3,.455,22.5,,.239
154,Milwaukee,27,3,24,.111,-17.01,-3.71,,2,13,,,,,,,,1824,2171,,,,.385,.304,.476,45.6,43.9,,3.7,.426,17.5,,.274
155,Minnesota NCAA,31,19,12,.613,13.96,6.31,,10,8,,,,,,,,2360,2123,,,,.355,.309,.519,53.0,61.4,,7.2,.484,17.5,,.245
156,Mississippi State NCAA,30,22,8,.733,17.28,8.48,,12,4,,,,,,,,2201,1937,,,,.359,.374,.546,51.9,61.2,,11.1,.515,19.6,,.249
157,Mississippi Valley State,28,17,11,.607,-11.03,-11.62,,10,4,,,,,,,,2251,2197,,,,.338,.240,.487,55.1,42.8,,7.8,.460,17.4,,.210
158,Mississippi,27,8,19,.296,2.17,5.66,,3,13,,,,,,,,1878,1972,,,,.386,.256,.487,52.0,60.3,,7.5,.455,18.5,,.242
159,Kansas City,26,7,19,.269,-11.09,-6.09,,7,11,,,,,,,,1823,1949,,,,.470,.276,.519,47.6,45.5,,5.4,.467,19.0,,.335
160,Missouri State,27,16,11,.593,4.58,0.14,,9,9,,,,,,,,1827,1707,,,,.386,.292,.511,49.7,59.4,,7.2,.475,14.9,,.260
161,Missouri NCAA,29,20,9,.690,11.94,8.32,,8,6,,,,,,,,2233,2128,,,,.463,.276,.545,52.5,48.7,,8.6,.504,18.0,,.322
162,Monmouth,27,13,14,.481,-5.74,-8.19,,11,7,,,,,,,,1910,1844,,,,.406,.249,.548,49.4,58.0,,8.7,.505,18.1,,.296
163,Montana State,29,21,8,.724,10.70,0.90,,8,6,,,,,,,,2443,2054,,,,.338,.249,.575,50.4,65.2,,8.3,.555,17.3,,.224
164,Montana,30,21,9,.700,7.41,2.95,,11,3,,,,,,,,2337,2135,,,,.521,.285,.562,51.5,60.6,,7.2,.512,20.0,,.379
165,Morehead State,27,15,12,.556,-5.70,-5.30,,10,6,,,,,,,,2053,1974,,,,.357,.412,.547,48.5,59.1,,7.3,.507,16.7,,.266
166,Morgan State,27,5,22,.185,-23.36,-8.51,,5,11,,,,,,,,1841,2248,,,,.329,.284,.506,44.4,51.4,,4.7,.483,21.9,,.203
167,Mount St. Mary's NCAA,30,17,13,.567,-6.87,-6.66,,12,6,,,,,,,,2323,2312,,,,.359,.279,.526,50.8,52.5,,7.6,.491,16.9,,.250
168,Murray State NCAA,30,21,9,.700,-2.36,-9.02,,11,5,,,,,,,,2608,2316,,,,.367,.288,.567,50.5,44.2,,11.0,.525,16.3,,.282
169,Navy,29,20,9,.690,-3.75,-10.75,,10,4,,,,,,,,2199,1966,,,,.445,.291,.542,57.8,59.7,,7.0,.504,17.3,,.304
170,Nebraska,32,18,14,.563,11.26,6.79,,4,10,,,,,,,,2510,2367,,,,.393,.259,.543,48.7,63.1,,11.2,.510,17.2,,.269
171,Nevada-Las Vegas,28,12,16,.429,0.77,2.63,,7,11,,,,,,,,2147,2199,,,,.403,.343,.557,48.5,52.6,,5.9,.524,20.3,,.279
172,Nevada,29,18,11,.621,5.65,2.96,,12,6,,,,,,,,2235,2157,,,,.394,.252,.544,50.4,55.6,,7.9,.514,18.6,,.265
173,New Hampshire,28,19,9,.679,-2.17,-3.85,,11,5,,,,,,,,2256,2209,,,,.383,.299,.559,49.1,56.3,,5.9,.528,18.4,,.267
174,New Mexico State,35,25,10,.714,10.31,3.58,,13,5,,,,,,,,2997,2740,,,,.432,.289,.543,52.2,54.9,,11.3,.520,17.5,,.269
175,New Mexico,30,15,15,.500,6.24,5.07,,9,9,,,,,,,,2259,2164,,,,.424,.344,.558,48.7,54.7,,9.8,.534,16.2,,.274
176,New Orleans,31,20,11,.645,0.68,-2.62,,13,5,,,,,,,,2219,2096,,,,.380,.279,.503,51.5,51.0,,9.9,.472,17.9,,.244
177,Niagara,30,5,25,.167,-13.48,-1.17,,2,12,,,,,,,,2043,2395,,,,.408,.299,.506,48.1,53.0,,3.7,.477,22.8,,.253
178,Nicholls State NCAA,30,24,6,.800,3.00,-5.50,,17,1,,,,,,,,2709,2340,,,,.377,.237,.551,49.7,59.1,,7.4,.517,15.5,,.263
179,UNC Asheville,27,11,16,.407,-8.88,-4.79,,7,9,,,,,,,,1848,1902,,,,.386,.312,.534,47.0,60.9,,5.2,.499,21.2,,.265
180,North Carolina A&T NCAA,30,15,15,.500,-14.09,-9.20,,10,6,,,,,,,,2047,2157,,,,.375,.343,.518,47.3,47.1,,5.5,.483,19.0,,.254
181,UNC Greensboro,29,23,6,.793,2.96,-8.45,,14,2,,,,,,,,2200,1869,,,,.407,.338,.539,53.2,62.1,,11.0,.512,16.8,,.263
182,NC State,27,12,15,.444,12.95,8.58,,4,12,,,,,,,,2057,1939,,,,.259,.343,.512,50.4,60.1,,7.2,.480,14.9,,.189
183,UNC Wilmington,27,16,11,.593,-0.37,-3.03,,10,4,,,,,,,,1837,1765,,,,.450,.327,.526,53.4,59.5,,8.4,.492,19.1,,.292
184,North Carolina NCAA,34,28,6,.824,23.58,13.14,,12,4,,,,,,,,2871,2516,,,,.371,.315,.594,51.2,55.2,,12.2,.573,15.3,,.252
185,North Texas,27,14,13,.519,-8.57,-8.15,,9,9,,,,,,,,2010,1939,,,,.452,.270,.555,53.2,53.9,,3.0,.518,18.4,,.313
186,Northeastern Illinois,26,4,22,.154,-19.77,-7.73,,2,16,,,,,,,,1711,1947,,,,.395,.311,.491,48.8,71.5,,7.1,.461,20.7,,.245
187,Northeastern,29,18,11,.621,-0.90,-2.80,,10,6,,,,,,,,2105,2050,,,,.360,.248,.518,53.4,51.3,,8.1,.482,19.3,,.250
188,Northern Arizona,26,8,18,.308,-6.13,3.10,,4,10,,,,,,,,1750,1874,,,,.437,.298,.516,49.9,57.6,,5.0,.474,23.8,,.298
189,Northern Illinois,29,19,10,.655,0.23,-5.13,,7,8,,,,,,,,2181,1980,,,,.352,.349,.543,51.4,56.5,,9.1,.521,18.0,,.226
190,Northern Iowa,28,8,20,.286,-5.81,2.38,,4,14,,,,,,,,1902,2113,,,,.457,.288,.519,48.0,45.7,,8.8,.483,21.1,,.298
191,Northwestern State,27,13,14,.481,-12.92,-7.20,,8,10,,,,,,,,1996,2089,,,,.347,.282,.518,51.2,60.7,,4.6,.492,18.6,,.221
192,Northwestern,27,5,22,.185,-12.43,6.13,,1,17,,,,,,,,1766,2267,,,,.406,.243,.485,45.2,51.6,,5.6,.438,20.2,,.283
193,Notre Dame,27,15,12,.556,2.80,2.17,,,,,,,,,,,1897,1882,,,,.354,.243,.533,49.2,62.2,,8.7,.503,21.4,,.239
194,Ohio State,28,6,22,.214,-1.67,6.51,,2,16,,,,,,,,1945,2174,,,,.346,.255,.527,48.7,57.3,,4.4,.500,20.1,,.228
195,Ohio,34,24,10,.706,11.24,3.67,,13,5,,,,,,,,2649,2369,,,,.434,.262,.544,54.3,55.4,,9.2,.513,17.5,,.288
196,Oklahoma State NCAA,37,27,10,.730,21.72,10.26,,10,4,,,,,,,,2859,2380,,,,.431,.297,.586,53.2,64.5,,8.5,.560,18.8,,.293
197,Oklahoma NCAA,32,23,9,.719,15.22,7.10,,9,5,,,,,,,,2614,2354,,,,.388,.312,.568,51.2,61.7,,9.0,.527,16.7,,.290
198,Old Dominion NCAA,33,21,12,.636,4.16,1.28,,12,2,,,,,,,,2548,2453,,,,.424,.320,.546,48.6,62.2,,9.5,.503,17.4,,.304
199,Oral Roberts,27,10,17,.370,-11.63,-3.13,,,,,,,,,,,1955,2016,,,,.365,.342,.529,50.1,67.1,,7.9,.497,19.2,,.248
200,Oregon State,27,9,18,.333,6.03,10.43,,6,12,,,,,,,,2040,2159,,,,.450,.220,.538,46.7,53.0,,5.4,.495,19.3,,.318
201,Oregon NCAA,28,19,9,.679,14.64,10.64,,11,7,,,,,,,,2385,2252,,,,.467,.341,.542,50.0,56.3,,4.9,.505,17.1,,.314
202,Pacific,27,14,13,.519,3.40,2.44,,9,9,,,,,,,,1970,1944,,,,.347,.385,.539,48.4,60.7,,7.0,.515,17.8,,.227
203,Penn State,32,21,11,.656,11.85,5.04,,9,9,,,,,,,,2281,2063,,,,.409,.326,.542,50.7,66.2,,7.8,.503,18.2,,.288
204,Pennsylvania NCAA,28,22,6,.786,9.33,-5.39,,14,0,,,,,,,,2301,1889,,,,.312,.340,.563,49.8,60.4,,7.2,.544,14.4,,.206
205,Pepperdine,27,8,19,.296,-4.64,1.75,,4,10,,,,,,,,1789,1949,,,,.331,.253,.503,51.2,53.4,,7.1,.467,19.8,,.230
206,Pittsburgh,28,10,18,.357,5.82,8.90,,5,13,,,,,,,,2015,2101,,,,.334,.381,.517,52.9,58.8,,9.9,.480,23.1,,.239
207,Portland,29,21,8,.724,3.31,-1.44,,10,4,,,,,,,,2211,2024,,,,.404,.161,.523,50.5,55.3,,3.3,.487,17.4,,.273
208,Prairie View,27,6,21,.222,-31.28,-7.23,,3,11,,,,,,,,2079,2590,,,,.346,.236,.476,46.6,42.5,,9.4,.454,21.9,,.202
209,Princeton,26,16,10,.615,-1.63,-6.15,,10,4,,,,,,,,1647,1501,,,,.407,.406,.551,46.4,59.5,,8.2,.518,19.4,,.280
210,Providence,30,17,13,.567,8.94,7.84,,7,11,,,,,,,,2215,2158,,,,.358,.262,.513,50.0,54.6,,8.3,.470,16.9,,.259
211,Purdue NCAA,32,25,7,.781,13.39,5.74,,15,3,,,,,,,,2444,2199,,,,.450,.262,.559,52.0,62.2,,8.2,.527,17.7,,.304
212,Radford,28,16,12,.571,-10.77,-6.73,,9,7,,,,,,,,1980,1972,,,,.301,.261,.535,52.0,56.1,,6.4,.508,21.2,,.206
213,Rhode Island,27,7,20,.259,1.50,6.58,,2,14,,,,,,,,1895,2032,,,,.359,.306,.498,48.3,49.9,,10.9,.458,19.6,,.250
214,Rice,28,15,13,.536,0.73,1.46,,8,6,,,,,,,,2050,2048,,,,.374,.231,.512,52.7,56.3,,4.9,.474,18.4,,.258
215,Richmond,28,8,20,.286,-6.98,-1.01,,3,11,,,,,,,,1890,2056,,,,.318,.228,.497,52.0,49.6,,8.2,.478,19.7,,.189
216,Rider,29,18,11,.621,-1.35,-7.74,,13,5,,,,,,,,2182,1986,,,,.386,.263,.562,49.3,63.2,,12.9,.535,18.4,,.261
217,Robert Morris,27,4,23,.148,-19.40,-7.22,,2,16,,,,,,,,1857,2186,,,,.407,.267,.522,49.9,54.4,,3.0,.472,20.8,,.302
218,Rutgers,28,13,15,.464,6.28,4.92,,7,9,,,,,,,,2043,2005,,,,.407,.296,.530,49.1,61.5,,7.7,.492,17.3,,.280
219,Sacramento State,27,6,21,.222,-15.37,-3.26,,2,4,,,,,,,,1783,2110,,,,.324,.236,.488,48.1,51.4,,7.3,.465,21.9,,.197
220,Saint Francis (PA),28,12,16,.429,-10.70,-8.66,,7,11,,,,,,,,2006,2063,,,,.397,.307,.554,46.9,56.0,,5.8,.516,18.9,,.284
221,Saint Joseph's,29,17,12,.586,9.74,7.22,,9,7,,,,,,,,2060,1987,,,,.408,.281,.508,53.0,55.6,,5.0,.462,15.6,,.288
222,Saint Louis NCAA,31,23,8,.742,17.30,4.08,,8,4,,,,,,,,2350,1940,,,,.404,.410,.554,51.0,59.9,,2.8,.520,14.3,,.280
223,Saint Mary's (CA),28,18,10,.643,4.42,-0.09,,10,4,,,,,,,,1996,1870,,,,.474,.330,.551,52.0,61.2,,6.6,.515,21.1,,.320
224,Saint Peter's NCAA,30,19,11,.633,-1.96,-3.12,,10,4,,,,,,,,2048,2013,,,,.373,.186,.521,52.4,57.3,,6.2,.484,19.1,,.259
225,Sam Houston State,26,7,19,.269,-15.63,-7.28,,4,14,,,,,,,,1819,1984,,,,.370,.308,.511,47.3,73.9,,9.0,.486,19.0,,.229
226,Samford,27,16,11,.593,-6.92,-8.32,,11,5,,,,,,,,1999,1914,,,,.448,.508,.594,50.8,60.7,,4.3,.550,18.0,,.340
227,San Diego State,28,11,17,.393,-1.72,3.92,,5,13,,,,,,,,1771,1878,,,,.439,.246,.471,50.0,47.8,,,.437,,,.266
228,San Diego,27,11,16,.407,-2.35,-0.04,,5,9,,,,,,,,1934,1983,,,,.378,.334,.546,50.6,57.5,,5.3,.516,19.8,,.256
229,San Francisco,29,10,19,.345,-4.74,2.62,,4,10,,,,,,,,2222,2432,,,,.406,.281,.528,47.8,58.4,,7.4,.488,18.5,,.284
230,San Jose State,27,4,23,.148,-8.09,4.33,,3,15,,,,,,,,1733,2052,,,,.403,.265,.489,47.7,51.7,,5.6,.443,20.5,,.280
231,Santa Clara NCAA,28,21,7,.750,9.91,1.99,,12,2,,,,,,,,2137,1920,,,,.417,.292,.541,52.9,51.4,,6.4,.498,18.2,,.300
232,Seton Hall,30,16,14,.533,8.44,4.37,,7,11,,,,,,,,2406,2274,,,,.341,.290,.523,49.5,57.1,,8.7,.495,16.1,,.226
233,Siena,27,8,19,.296,-8.92,-5.55,,5,9,,,,,,,,1908,1999,,,,.365,.252,.529,50.6,54.6,,3.9,.499,19.2,,.243
234,South Alabama,27,9,18,.333,-10.91,-3.84,,7,11,,,,,,,,2285,2476,,,,.293,.345,.495,49.3,50.2,,5.4,.464,16.8,,.199
235,South Carolina State,28,15,13,.536,-15.21,-12.00,,11,5,,,,,,,,1930,1977,,,,.319,.214,.495,52.3,39.5,,7.2,.462,17.3,,.215
236,South Carolina,27,10,17,.370,3.03,8.51,,5,11,,,,,,,,1807,1955,,,,.328,.342,.498,49.2,49.2,,7.7,.477,16.9,,.198
237,South Florida,30,18,12,.600,7.94,3.07,,5,7,,,,,,,,2173,2027,,,,.403,.285,.539,52.6,59.1,,5.8,.509,16.5,,.266
238,Southeast Missouri State,27,13,14,.481,-11.02,-6.06,,7,9,,,,,,,,1972,2071,,,,.375,.239,.510,51.1,60.1,,5.6,.487,17.5,,.229
239,Southeastern Louisiana,28,12,16,.429,-10.20,-6.66,,7,9,,,,,,,,2317,2325,,,,.394,.328,.529,49.4,52.2,,4.6,.493,16.7,,.270
240,Southern California,28,7,21,.250,3.99,8.49,,2,16,,,,,,,,2140,2266,,,,.345,.290,.512,48.9,47.4,,5.2,.477,17.9,,.238
241,Southern Illinois NCAA,32,23,9,.719,8.02,3.34,,13,5,,,,,,,,2486,2286,,,,.329,.331,.551,52.4,54.9,,8.0,.526,17.2,,.222
242,Southern Methodist,27,7,20,.259,-7.30,4.14,,3,11,,,,,,,,1895,2204,,,,.316,.344,.472,47.0,52.2,,5.2,.444,16.6,,.200
243,Southern Mississippi,30,17,13,.567,8.23,5.88,,6,6,,,,,,,,2223,2140,,,,.288,.277,.489,51.1,46.6,,10.0,.464,16.2,,.184
244,Southern Utah,28,17,11,.607,0.22,-7.99,,6,0,,,,,,,,2228,1927,,,,.341,.338,.567,46.3,56.3,,10.0,.538,15.0,,.241
245,Southern,26,13,13,.500,-11.87,-13.51,,7,7,,,,,,,,2425,2158,,,,.310,.341,.542,48.5,46.3,,7.2,.523,16.0,,.197
246,St. Bonaventure,31,18,13,.581,9.36,4.76,,9,7,,,,,,,,2258,2084,,,,.395,.353,.513,51.4,50.1,,8.0,.475,17.2,,.269
247,St. Francis (NY),27,9,18,.333,-18.74,-11.34,,5,13,,,,,,,,2043,2243,,,,.345,.312,.531,47.5,55.4,,6.2,.504,20.6,,.228
248,St. John's (NY),28,14,14,.500,8.29,6.75,,7,11,,,,,,,,2218,2175,,,,.405,.200,.538,50.8,47.4,,6.3,.499,17.9,,.284
249,Stanford NCAA,29,20,9,.690,13.11,7.24,,10,8,,,,,,,,2290,2120,,,,.477,.208,.539,51.6,51.1,,6.2,.487,15.1,,.348
250,Stephen F. Austin,28,14,14,.500,-7.82,-7.32,,9,9,,,,,,,,2461,2416,,,,.414,.385,.550,51.1,54.0,,5.0,.510,17.0,,.296
251,Stetson,27,15,12,.556,-3.95,-6.29,,11,5,,,,,,,,2042,1978,,,,.390,.269,.549,49.6,53.7,,7.2,.510,17.2,,.281
252,Syracuse NCAA,30,20,10,.667,15.36,7.46,,12,6,,,,,,,,2471,2202,,,,.362,.247,.555,49.8,58.5,,10.5,.531,18.3,,.240
253,Temple NCAA,30,19,11,.633,12.22,9.26,,10,6,,,,,,,,1881,1792,,,,.347,.403,.477,48.7,51.7,,12.2,.452,13.5,,.208
254,Tennessee-Martin,27,7,20,.259,-17.52,-4.98,,5,11,,,,,,,,1815,2117,,,,.369,.319,.553,46.7,53.3,,3.0,.522,24.8,,.258
255,Tennessee State,27,17,10,.630,-6.09,-8.09,,11,5,,,,,,,,2093,2017,,,,.333,.315,.510,52.0,48.0,,7.8,.478,14.6,,.225
256,Tennessee Tech,27,13,14,.481,-10.65,-6.15,,9,7,,,,,,,,2076,2109,,,,.364,.337,.531,51.6,54.2,,13.6,.497,20.2,,.252
257,Tennessee,27,11,16,.407,5.49,8.67,,4,12,,,,,,,,1625,1711,,,,.341,.238,.507,48.4,66.6,,7.2,.474,20.7,,.231
258,Texas A&M,30,14,16,.467,-1.81,1.57,,7,7,,,,,,,,2221,2298,,,,.451,.190,.535,54.4,60.6,,5.4,.494,21.4,,.312
259,UT Arlington,27,10,17,.370,-13.39,-7.16,,7,11,,,,,,,,1996,2157,,,,.384,.262,.513,48.2,51.7,,4.8,.478,18.5,,.257
260,TCU,27,16,11,.593,0.81,-1.23,,8,6,,,,,,,,2529,2435,,,,.421,.214,.554,49.4,56.6,,9.1,.510,15.9,,.309
261,UTEP,30,20,10,.667,8.96,5.85,,13,5,,,,,,,,2336,2152,,,,.490,.373,.563,48.2,54.3,,10.7,.522,14.8,,.345
262,Texas-Rio Grande Valley,28,14,14,.500,-2.29,-1.75,,10,8,,,,,,,,1812,1769,,,,.388,.229,.509,49.6,58.9,,7.7,.483,20.5,,.239
263,UTSA,28,15,13,.536,-8.22,-6.80,,11,7,,,,,,,,2215,2223,,,,.352,.296,.544,53.5,62.8,,6.0,.517,19.7,,.235
264,Texas Southern NCAA,29,22,7,.759,0.64,-8.10,,12,2,,,,,,,,2410,2128,,,,.475,.377,.524,52.2,49.0,,6.0,.479,14.7,,.327
265,Texas State,26,12,14,.462,-13.99,-6.79,,7,11,,,,,,,,1694,1824,,,,.364,.218,.517,49.2,55.0,,6.5,.496,21.4,,.221
266,Texas Tech,30,20,10,.667,11.87,1.87,,11,3,,,,,,,,2664,2323,,,,.425,.267,.564,56.4,61.6,,7.7,.531,17.5,,.295
267,Texas NCAA,30,23,7,.767,15.72,3.65,,11,3,,,,,,,,2787,2425,,,,.357,.321,.559,48.6,43.0,,5.7,.539,14.7,,.230
268,Toledo,27,16,11,.593,2.85,0.37,,10,8,,,,,,,,1944,1852,,,,.482,.243,.544,53.2,58.5,,6.6,.506,17.7,,.324
269,Towson,27,12,15,.444,-8.69,-4.09,,6,10,,,,,,,,2010,2134,,,,.304,.238,.530,46.3,53.7,,7.8,.493,18.0,,.228
270,Troy,27,11,16,.407,-11.50,-8.98,,10,8,,,,,,,,2468,2510,,,,.228,.398,.508,46.4,51.8,,5.0,.488,14.7,,.149
271,Tulane NCAA,33,23,10,.697,9.84,4.23,,7,5,,,,,,,,2546,2361,,,,.428,.243,.537,51.3,54.9,,7.2,.513,19.1,,.266
272,Tulsa NCAA,32,24,8,.750,12.37,4.66,,15,3,,,,,,,,2394,2156,,,,.442,.343,.523,52.0,59.7,,8.3,.474,16.4,,.318
273,UCLA NCAA,33,31,2,.939,23.70,10.03,,16,2,,,,,,,,2889,2438,,,,.412,.165,.575,52.9,60.5,,9.8,.541,16.8,,.292
274,Utah State,29,21,8,.724,10.09,1.54,,14,4,,,,,,,,2283,1998,,,,.468,.213,.566,57.4,54.6,,6.6,.541,19.3,,.302
275,Utah NCAA,34,28,6,.824,16.29,4.85,,15,3,,,,,,,,2637,2206,,,,.442,.320,.583,57.0,59.4,,7.6,.541,17.7,,.329
276,Valparaiso,28,20,8,.714,-1.62,-8.81,,14,4,,,,,,,,2160,1936,,,,.366,.322,.561,51.5,58.5,,5.7,.535,17.2,,.247
277,Vanderbilt,28,13,15,.464,10.98,8.41,,6,10,,,,,,,,2044,1972,,,,.350,.375,.510,48.9,62.6,,10.6,.470,16.6,,.249
278,Vermont,27,14,13,.519,-6.33,-5.45,,7,9,,,,,,,,2047,2045,,,,.326,.425,.511,44.3,53.2,,10.6,.476,15.5,,.226
279,Villanova NCAA,33,25,8,.758,16.39,8.30,,14,4,,,,,,,,2588,2312,,,,.317,.346,.577,49.9,66.2,,11.5,.550,17.4,,.229
280,Virginia Commonwealth,30,16,14,.533,3.68,3.43,,3,9,,,,,,,,2098,2077,,,,.369,.280,.528,52.5,60.5,,9.0,.514,22.0,,.212
281,VMI,27,10,17,.370,-15.34,-3.89,,6,8,,,,,,,,2154,2370,,,,.315,.395,.505,47.7,48.5,,6.0,.472,18.5,,.217
282,Virginia Tech,35,25,10,.714,13.59,5.39,,6,6,,,,,,,,2640,2353,,,,.414,.223,.550,51.6,51.8,,7.5,.515,15.5,,.287
283,Virginia NCAA,34,25,9,.735,20.64,10.02,,12,4,,,,,,,,2633,2272,,,,.377,.310,.539,53.2,53.4,,9.9,.500,15.4,,.271
284,Wagner,27,10,17,.370,-14.71,-7.27,,9,9,,,,,,,,1980,2181,,,,.350,.316,.522,47.5,49.1,,6.2,.492,19.4,,.234
285,Wake Forest NCAA,32,26,6,.813,19.50,10.91,,12,4,,,,,,,,2286,2011,,,,.367,.363,.574,52.2,53.3,,13.9,.534,17.9,,.280
286,Washington State,30,18,12,.600,13.05,8.59,,10,8,,,,,,,,2506,2318,,,,.419,.254,.600,51.8,56.5,,7.3,.567,20.4,,.303
287,Washington,27,9,18,.333,6.45,10.30,,5,13,,,,,,,,1805,1909,,,,.297,.282,.489,47.3,60.9,,4.5,.460,20.9,,.196
288,Weber State NCAA,30,21,9,.700,8.35,3.42,,11,3,,,,,,,,2319,2115,,,,.376,.271,.546,55.8,51.4,,7.9,.507,15.5,,.273
289,West Virginia,26,13,13,.500,4.58,6.58,,7,9,,,,,,,,2010,2010,,,,.355,.264,.524,48.8,48.1,,9.7,.492,17.7,,.239
290,Western Carolina,28,14,14,.500,-8.48,-2.82,,8,6,,,,,,,,2103,2163,,,,.312,.284,.537,50.4,50.6,,8.9,.502,19.6,,.229
291,Western Illinois,28,20,8,.714,-4.34,-9.58,,13,5,,,,,,,,2177,2016,,,,.366,.291,.537,51.2,57.2,,8.2,.509,17.8,,.243
292,Western Kentucky NCAA,31,27,4,.871,7.80,-2.43,,17,1,,,,,,,,2493,2152,,,,.380,.246,.547,52.4,52.4,,9.0,.519,17.6,,.253
293,Western Michigan,27,14,13,.519,1.20,0.94,,9,9,,,,,,,,1853,1846,,,,.339,.227,.517,48.1,43.5,,8.7,.490,18.7,,.221
294,Wichita State,27,13,14,.481,-0.09,2.26,,6,12,,,,,,,,1740,1778,,,,.340,.277,.497,52.0,52.1,,7.4,.464,17.6,,.227
295,William & Mary,27,8,19,.296,-7.71,-2.71,,6,8,,,,,,,,1895,2030,,,,.393,.268,.491,49.7,49.0,,12.1,.458,17.3,,.249
296,Winthrop,27,7,20,.259,-15.29,-4.71,,4,12,,,,,,,,1938,2210,,,,.310,.363,.511,44.5,62.0,,5.5,.481,18.4,,.210
297,Wisconsin,27,13,14,.481,8.30,6.97,,7,11,,,,,,,,1970,1934,,,,.426,.348,.508,50.0,51.0,,8.8,.475,18.8,,.273
298,Wright State,30,13,17,.433,-4.18,-1.35,,6,8,,,,,,,,2165,2229,,,,.447,.264,.536,48.5,57.3,,6.5,.497,21.5,,.306
299,Wyoming,28,13,15,.464,6.69,6.77,,9,9,,,,,,,,1876,1823,,,,.467,.346,.528,50.7,56.3,,15.7,.486,18.7,,.319
300,Xavier NCAA,28,23,5,.821,10.17,-0.83,,14,0,,,,,,,,2348,2014,,,,.480,.277,.556,51.9,57.9,,4.9,.510,17.7,,.345
301,Yale,26,9,17,.346,-16.77,-9.73,,5,9,,,,,,,,1684,1815,,,,.372,.209,.509,50.0,42.9,,6.5,.469,19.8,,.260
302,Youngstown State,28,18,10,.643,-8.27,-10.50,,10,8,,,,,,,,1952,1843,,,,.337,.254,.515,53.9,53.6,,5.5,.487,17.8,,.221